timestamp,user,width,distance,time(ms),offsetX,offsetY,misses
2014-04-24 18:42:24,4,35,300,627,-2,-9,0
2014-04-24 18:42:26,4,100,700,845,-34,-13,0
2014-04-24 18:42:27,4,100,450,541,-20,2,0
2014-04-24 18:42:28,4,170,300,458,39,-13,0
2014-04-24 18:42:29,4,35,450,745,3,-5,0
2014-04-24 18:42:31,4,100,700,651,-10,-20,0
2014-04-24 18:42:32,4,100,700,604,33,-17,0
2014-04-24 18:42:33,4,100,300,680,5,-4,1
2014-04-24 18:42:34,4,60,450,508,20,-16,0
2014-04-24 18:42:34,4,35,300,459,-13,-4,0
2014-04-24 18:42:35,4,100,300,448,-25,-4,0
2014-04-24 18:42:36,4,60,170,592,22,14,0
2014-04-24 18:42:37,4,170,450,505,-57,4,0
2014-04-24 18:42:38,4,100,450,449,-19,6,0
2014-04-24 18:42:38,4,35,170,420,-4,1,0
2014-04-24 18:42:39,4,170,700,725,74,-26,1
2014-04-24 18:42:41,4,100,170,517,26,-2,0
2014-04-24 18:42:41,4,35,300,608,-12,-2,0
2014-04-24 18:42:43,4,170,450,598,-75,-28,0
2014-04-24 18:42:44,4,170,700,564,-63,-27,0
2014-04-24 18:42:45,4,100,170,601,46,13,0
2014-04-24 18:42:46,4,170,300,400,-1,7,0
2014-04-24 18:42:47,4,35,170,479,-8,5,0
2014-04-24 18:42:47,4,100,170,380,19,10,0
2014-04-24 18:42:48,4,35,170,584,-15,0,0
2014-04-24 18:42:49,4,60,700,779,5,-5,0
2014-04-24 18:42:51,4,60,700,659,3,-1,0
2014-04-24 18:42:52,4,60,300,1089,1,4,1
2014-04-24 18:42:53,4,60,450,679,-3,4,0
2014-04-24 18:42:55,4,35,450,1200,3,0,0
2014-04-24 18:42:56,4,35,170,753,-6,-1,0
2014-04-24 18:42:57,4,100,170,542,36,11,0
2014-04-24 18:42:59,4,35,700,1364,15,0,1
2014-04-24 18:43:00,4,100,300,432,-43,11,0
2014-04-24 18:43:01,4,60,450,652,-24,-5,0
2014-04-24 18:43:02,4,60,450,565,-8,-4,0
2014-04-24 18:43:03,4,60,170,761,-15,9,0
2014-04-24 18:43:05,4,35,300,1828,-4,1,2
2014-04-24 18:43:06,4,170,700,662,-67,-15,0
2014-04-24 18:43:07,4,60,170,762,-7,0,0
2014-04-24 18:43:08,4,170,450,454,-62,-2,0
2014-04-24 18:43:09,4,60,170,824,-13,-3,1
2014-04-24 18:43:10,4,35,450,546,7,0,0
2014-04-24 18:43:11,4,170,300,373,3,9,0
2014-04-24 18:43:12,4,35,700,1207,-15,1,1
2014-04-24 18:43:13,4,60,300,458,-22,1,0
2014-04-24 18:43:14,4,35,450,595,1,7,0
2014-04-24 18:43:16,4,60,700,777,-17,-5,0
2014-04-24 18:43:18,4,60,300,1529,7,-8,1
2014-04-24 18:43:19,4,35,700,758,-1,0,0
2014-04-24 18:43:20,4,100,450,542,-13,-22,0
2014-04-24 18:43:21,4,100,300,831,32,6,1
2014-04-24 18:43:22,4,60,300,459,25,3,0
2014-04-24 18:43:23,4,170,170,566,16,-5,0
2014-04-24 18:43:24,4,35,700,1092,-10,-3,1
2014-04-24 18:43:25,4,170,170,467,29,17,0
2014-04-24 18:43:26,4,100,450,550,35,-11,0
2014-04-24 18:43:27,4,100,700,563,-1,7,0
2014-04-24 18:43:28,4,60,700,784,21,2,0
2014-04-24 18:43:29,4,170,170,360,15,3,0
2014-04-24 18:43:30,4,170,300,394,-21,9,0
2014-04-24 18:43:31,4,170,170,407,58,6,0
2014-04-24 18:43:31,4,170,700,568,-73,-17,0
2014-04-24 18:43:32,4,170,450,453,30,4,0
