607,676,442
660,706,464
775,774,510
913,808,518
920,832,476
920,856,398
779,872,400
552,902,454
315,896,578
105,710,716
104,430,752
104,206,806
104,104,814
104,104,794
104,108,724
104,108,724
104,396,546
127,514,546
197,650,522
304,800,508
467,918,504
669,920,494
818,920,490
919,920,446
920,920,410
920,920,414
920,920,414
804,920,384
598,908,400
349,812,476
104,426,652
104,128,800
104,104,912
104,104,920
104,104,860
104,104,742
104,214,628
167,374,596
239,508,572
305,630,534
380,740,512
475,840,502
584,918,486
716,920,466
859,920,444
920,920,434
920,920,416
880,920,372
735,890,352
589,848,378
362,806,480
106,638,612
104,188,702
104,104,774
104,104,886
104,104,872
104,106,738
104,200,638
171,352,564
255,482,540
303,592,534
356,686,530
423,792,534
499,896,538
756,920,494
918,920,446
920,920,456
920,920,422
887,918,394
740,884,382
634,824,380
486,800,438
173,738,564
104,404,658
104,104,716
104,104,796
104,104,810
104,128,760
104,178,676
123,272,578
253,462,546
313,558,540
364,632,532
410,720,506
469,804,486
538,876,486
648,918,488
826,920,480
919,920,484
920,920,472
920,920,424
819,888,380
694,854,376
564,816,406
347,774,474
105,606,594
104,204,654
104,104,806
104,104,850
104,106,776
104,154,688
109,248,606
208,374,566
275,472,562
331,572,528
393,640,494
432,710,492
494,786,492
583,852,500
691,896,522
831,914,520
919,918,486
920,904,456
901,868,420
733,804,384
650,784,402
521,800,464
184,746,578
104,420,630
104,106,680
104,104,742
104,104,776
104,130,742
104,194,650
127,292,568
226,410,548
294,520,518
348,610,500
396,698,494
462,790,500
563,868,508
755,918,498
900,920,466
920,920,460
920,910,448
881,864,428
748,814,410
748,814,410
576,760,446
105,554,652
104,176,708
104,104,770
104,104,800
104,128,768
104,182,706
125,260,608
222,358,544
291,466,520
347,566,482
395,654,466
442,746,472
530,816,464
706,864,454
817,886,472
915,890,476
920,886,470
902,862,446
799,814,424
706,772,410
591,750,430
360,726,494
105,576,598
104,198,622
104,104,692
104,112,758
104,146,770
104,182,704
109,242,612
196,328,550
307,480,542
354,564,546
400,638,548
445,708,550
504,776,534
593,836,506
702,866,482
832,876,446
919,884,418
920,878,428
912,842,410
808,816,410
694,794,414
534,790,452
235,762,538
104,554,610
104,162,668
104,104,706
104,158,744
104,148,704
104,196,634
155,288,572
257,390,552
321,476,544
363,550,530
400,622,510
458,710,484
542,764,462
618,818,480
724,834,502
821,860,510
916,874,494
920,856,478
873,822,456
765,782,426
663,752,414
529,764,452
121,662,582
104,330,598
104,104,624
104,108,660
104,190,688
104,198,672
105,224,604
176,306,540
273,418,518
340,506,530
382,578,538
424,644,540
471,724,548
535,778,556
606,836,544
726,872,498
913,844,468
920,826,460
911,810,428
807,778,400
698,756,396
578,746,410
324,730,474
104,548,530
104,234,564
104,104,654
104,106,714
104,142,706
104,214,658
117,284,604
224,372,560
309,468,548
390,594,538
448,666,512
517,738,490
624,784,476
721,806,482
809,838,482
910,862,472
920,842,458
878,818,444
776,780,412
674,740,410
541,722,452
266,640,532
104,402,588
104,118,666
104,108,742
104,154,746
104,184,714
105,236,636
187,332,558
252,430,542
310,520,542
337,564,540
363,606,536
389,654,534
560,840,480
760,868,464
866,880,452
919,894,444
919,890,446
880,864,428
796,830,410
630,790,394
463,774,448
155,746,568
104,456,608
104,110,662
104,104,720
104,152,724
104,204,686
104,248,634
162,312,572
242,406,526
293,480,518
335,560,524
387,634,522
443,722,526
536,792,530
620,840,528
828,904,482
919,910,438
920,910,406
920,898,394
812,884,400
647,870,398
462,844,432
200,746,512
104,476,594
104,122,650
104,128,728
104,198,776
104,196,742
104,214,658
118,270,586
221,370,540
285,448,530
327,514,528
365,576,526
406,636,524
478,728,530
529,786,542
592,846,546
734,898,490
913,880,442
920,882,434
920,864,406
868,842,400
708,834,402
554,834,424
295,816,522
104,644,622
104,226,656
104,104,674
104,146,700
104,158,704
104,196,664
104,246,592
169,328,552
263,470,548
324,562,542
383,644,526
442,728,508
516,796,468
592,842,470
759,886,454
916,914,480
920,920,496
920,920,470
902,920,426
732,920,412
543,914,428
316,832,498
108,662,582
104,354,616
104,118,746
104,156,742
104,178,722
104,184,682
104,228,596
125,316,546
223,418,546
287,514,552
333,592,538
384,662,518
438,736,508
497,804,502
576,862,488
678,878,486
828,900,450
920,920,454
920,904,442
866,876,410
732,844,390
613,826,390
475,844,446
178,832,584
104,560,658
104,134,702
104,104,712
104,168,700
104,232,698
104,248,682
121,272,618
196,350,556
262,442,542
318,520,542
394,634,532
435,710,528
496,790,522
593,848,516
739,876,478
905,890,424
920,890,416
920,874,426
854,856,434
719,816,416
662,796,414
555,780,424
489,778,452
104,558,630
104,202,704
104,104,732
104,194,720
104,222,708
104,244,666
138,300,592
213,390,560
273,482,560
322,576,552
401,656,544
469,714,534
525,772,514
611,832,472
713,864,450
840,886,444
919,888,442
920,882,434
901,858,400
757,810,388
593,756,412
457,706,452
159,616,582
104,380,682
104,106,748
104,106,764
104,172,768
104,176,722
104,222,652
163,306,586
239,406,552
299,484,542
356,558,534
412,640,530
476,720,532
584,810,516
686,868,464
830,870,424
918,876,428
920,874,432
917,846,412
803,814,410
674,794,420
540,776,450
282,766,528
104,542,604
104,168,634
104,108,708
104,128,760
104,158,740
104,202,682
104,260,616
193,368,570
276,470,560
350,580,550
424,660,546
494,746,534
574,826,496
683,878,442
799,906,438
914,918,446
920,910,454
920,894,442
893,858,414
744,816,394
550,800,434
258,744,520
104,536,564
104,186,618
104,104,772
104,154,794
104,188,742
104,220,668
125,306,592
203,426,578
277,522,574
348,608,566
413,686,548
487,776,536
576,848,516
715,918,444
885,920,384
920,920,356
920,910,390
914,878,408
814,836,376
671,786,370
428,716,444
137,628,534
104,342,600
104,108,700
104,104,792
104,148,806
104,208,762
104,232,698
138,296,614
233,404,566
300,494,554
358,568,548
408,636,542
461,728,536
546,806,534
653,856,502
755,880,460
908,906,380
920,886,370
920,880,378
861,842,382
747,824,382
600,830,406
332,816,490
105,660,576
104,294,630
104,104,698
104,140,734
104,190,748
104,190,718
104,224,648
161,328,588
259,428,556
342,536,540
342,536,540
390,598,532
490,762,534
594,830,536
720,868,500
830,874,434
920,868,390
920,852,432
874,836,416
761,808,388
598,786,408
353,742,460
106,554,544
104,188,586
104,104,682
104,160,778
104,182,838
104,156,804
104,180,686
131,280,592
223,400,560
274,484,562
339,574,558
426,690,556
504,750,552
584,826,538
670,888,512
791,910,474
904,914,422
920,904,384
919,868,382
837,840,388
747,820,378
631,834,386
380,864,452
107,726,552
104,354,586
104,104,646
104,108,684
104,218,702
104,220,700
104,246,638
144,334,570
226,442,554
297,544,564
368,634,560
443,720,564
535,772,568
616,832,546
716,856,514
837,888,460
919,878,396
920,886,382
919,864,410
825,862,418
690,842,400
420,830,448
127,700,542
104,352,600
104,112,668
104,154,716
104,192,740
104,168,738
104,176,684
104,250,608
150,368,576
242,488,568
311,582,554
377,664,536
437,754,520
522,846,504
640,906,474
797,920,428
920,920,440
920,920,434
920,920,400
832,912,370
687,878,358
522,870,404
253,854,514
104,612,632
104,130,702
104,104,752
104,140,752
104,184,742
104,212,652
118,310,560
194,430,544
277,532,546
340,622,542
396,698,536
486,824,542
572,902,542
721,920,506
910,920,470
920,920,452
920,920,424
896,918,410
749,878,388
610,842,386
460,830,424
170,766,532
104,454,570
104,132,646
104,104,732
104,134,736
104,162,712
104,214,632
118,300,570
205,412,558
280,516,558
339,602,550
389,676,542
451,744,536
514,812,520
613,890,488
762,910,482
898,918,496
920,920,484
920,918,440
829,892,400
706,866,402
568,874,434
568,874,434
308,878,516
104,218,632
104,104,698
104,162,706
104,194,714
104,192,678
104,208,614
114,296,556
205,410,538
256,494,542
297,556,534
355,640,528
422,710,532
545,820,486
648,862,496
758,870,522
885,896,528
920,914,498
920,890,452
871,864,422
764,828,400
659,800,406
519,816,452
226,780,540
104,494,576
104,104,656
104,134,690
104,202,704
104,206,688
104,230,614
141,306,542
233,414,540
290,496,554
341,568,544
399,630,532
448,700,536
502,782,528
597,852,486
713,858,484
823,858,500
919,874,498
920,876,456
917,858,418
727,830,420
596,832,436
415,864,490
118,784,584
104,348,578
104,104,592
104,140,638
104,220,670
104,244,684
104,238,626
110,288,550
198,394,526
268,488,528
332,570,526
388,634,526
442,710,530
501,770,534
558,834,532
756,912,472
914,896,434
920,900,436
920,890,426
901,872,400
748,870,390
565,868,414
302,812,462
104,586,538
104,196,598
104,156,670
104,170,734
104,140,758
104,146,718
104,196,680
111,306,626
206,414,590
277,510,560
340,594,532
395,678,520
457,770,510
589,894,474
716,906,470
863,918,428
920,920,414
920,920,416
918,908,386
796,882,368
696,876,390
582,894,442
307,920,566
104,668,684
104,142,686
104,104,712
104,164,730
104,220,760
104,224,714
104,238,606
143,368,528
229,476,532
303,568,528
361,640,520
409,706,514
449,786,508
509,888,494
636,920,480
775,920,484
916,920,476
920,920,480
920,920,442
864,920,422
731,920,410
583,920,428
336,920,512
106,798,614
104,322,658
104,104,724
104,138,708
104,166,710
104,176,628
104,226,530
116,338,506
116,338,506
198,472,520
236,530,522
371,756,512
421,838,520
496,914,544
639,920,548
822,920,528
919,920,516
920,920,492
920,920,442
798,918,412
612,858,384
480,850,404
182,760,474
104,492,552
104,112,654
104,104,740
104,132,762
104,136,750
104,156,682
104,250,600
185,376,558
268,484,556
321,570,546
371,652,534
420,732,530
473,806,532
555,872,494
661,900,478
847,916,492
919,920,478
920,916,458
916,896,438
777,876,426
656,884,430
499,908,470
221,920,554
104,684,622
104,120,616
104,108,652
104,204,704
104,204,734
104,196,666
104,240,564
135,356,510
236,462,520
302,540,516
360,610,506
437,728,514
480,816,524
590,912,520
816,920,492
919,920,470
