550,496,504
552,520,516
568,564,534
597,608,548
643,646,544
721,698,548
813,730,530
855,738,476
776,816,438
542,832,418
235,810,464
104,714,576
104,442,734
104,222,818
104,114,762
104,206,648
104,340,602
104,402,562
145,454,512
213,524,500
303,604,522
405,684,528
494,770,506
601,866,476
746,920,476
915,920,470
920,920,424
920,920,404
853,892,352
651,854,376
488,782,406
321,696,432
118,590,536
104,352,688
104,142,810
104,118,850
104,158,798
104,212,728
104,252,638
125,346,542
229,456,504
301,546,502
363,622,508
420,694,512
508,798,530
580,866,536
678,918,542
824,920,532
919,920,512
920,906,442
919,902,388
805,870,370
647,856,392
503,870,406
270,788,446
104,636,596
104,270,726
104,104,818
104,136,820
104,160,754
104,184,636
112,284,542
231,392,506
285,478,512
326,548,514
375,626,510
442,710,518
518,784,530
595,862,552
706,916,566
826,910,552
903,916,536
920,914,498
897,876,432
789,852,404
680,826,372
559,814,418
351,826,510
104,520,640
104,132,662
104,104,720
104,130,752
104,194,728
104,198,642
104,252,530
170,380,504
276,502,514
352,586,522
419,656,518
468,736,516
536,828,526
642,900,534
756,916,526
756,916,526
867,920,518
919,916,438
847,892,388
708,880,400
492,866,450
197,772,536
104,548,664
104,116,712
104,104,760
104,168,838
104,178,806
104,164,676
104,248,518
187,376,476
292,482,506
355,558,514
404,620,500
452,700,486
517,808,490
618,882,510
740,916,532
856,920,534
920,920,478
920,920,454
856,912,428
718,892,406
534,892,442
291,846,526
104,672,612
104,320,648
104,104,724
104,112,764
104,198,734
104,216,674
104,220,566
108,308,502
208,428,496
335,570,512
390,632,508
441,692,502
488,764,496
545,846,508
649,906,524
778,914,522
879,906,520
919,908,494
920,892,436
866,868,414
744,876,414
571,840,426
304,812,490
104,674,594
104,254,658
104,112,772
104,178,780
104,202,712
104,198,640
104,244,564
159,356,528
247,460,536
307,540,532
368,616,520
427,706,508
506,794,510
590,848,510
690,904,514
820,904,506
912,898,476
920,896,434
915,862,422
774,842,414
641,850,426
443,860,486
136,760,550
104,422,626
104,106,710
104,158,788
104,218,768
104,194,708
104,188,644
104,264,570
184,382,536
267,472,526
326,544,512
385,614,494
438,690,488
559,834,500
678,880,506
783,886,502
876,902,476
919,900,438
920,882,428
862,856,420
745,838,414
578,822,436
330,772,494
106,630,560
104,314,654
104,104,792
104,108,838
104,164,768
104,190,692
111,258,576
214,376,532
304,482,512
367,560,500
425,624,496
481,700,494
553,764,488
620,826,486
716,868,476
822,880,468
914,868,440
920,848,414
876,828,400
762,816,408
629,818,426
426,816,484
129,726,582
104,216,672
104,104,772
104,156,806
104,190,778
104,208,738
104,212,666
152,332,538
249,444,524
320,528,514
374,594,506
427,658,500
485,712,496
537,764,496
597,818,498
680,840,490
781,860,474
918,854,420
920,820,382
860,808,394
732,804,410
603,814,440
393,798,494
114,678,584
104,298,670
104,104,730
104,172,798
104,204,784
104,186,712
104,204,626
135,296,566
241,412,554
308,490,542
360,548,530
406,618,522
487,714,518
558,794,520
677,850,512
804,856,488
904,868,452
920,868,406
893,838,384
770,814,390
655,780,400
552,754,436
420,766,502
176,698,566
104,480,636
104,196,712
104,104,770
104,148,738
104,248,684
104,280,640
145,316,558
219,410,536
291,508,524
347,584,512
409,648,506
461,698,510
516,762,510
602,822,500
698,862,488
823,874,478
917,880,452
920,870,408
903,850,398
773,824,406
649,816,412
516,810,440
137,738,564
104,422,648
104,106,730
104,120,816
104,206,788
104,236,724
104,222,664
106,280,588
195,394,550
286,496,540
351,564,520
408,632,508
476,702,496
536,774,492
617,844,494
795,876,458
894,878,424
920,878,410
912,850,422
819,822,432
702,800,434
547,778,448
356,746,510
112,628,622
104,306,698
104,104,766
104,138,778
104,192,740
104,194,694
104,212,616
122,302,546
224,420,534
314,516,530
381,594,518
439,662,504
523,762,498
584,820,506
678,870,508
802,886,506
904,878,488
920,868,444
878,830,406
755,778,400
634,744,394
503,698,416
323,664,486
106,574,614
104,254,682
104,104,750
104,120,794
104,190,712
104,226,642
138,302,582
236,414,550
317,506,540
377,570,522
430,622,514
480,680,512
520,738,512
543,776,516
619,832,512
619,832,512
908,866,394
920,842,362
869,820,382
738,824,408
602,820,424
400,830,466
119,746,570
104,380,636
104,104,696
104,132,804
104,198,786
104,242,708
104,248,630
117,306,570
269,476,548
346,560,532
401,614,510
438,676,498
483,748,500
542,822,504
637,874,488
757,898,446
902,884,404
920,876,396
920,854,408
860,850,426
712,846,426
535,856,454
150,804,546
104,532,632
104,118,674
104,112,746
104,198,748
104,244,682
104,250,610
104,286,544
178,382,514
259,480,508
323,562,500
375,634,492
430,702,494
478,768,504
545,836,520
641,884,536
758,900,528
899,908,484
920,898,410
918,874,400
798,866,422
664,862,408
476,860,432
201,842,516
104,600,596
104,178,666
104,104,784
